Kokonaisluvut,96,yhdeksänkymmentäkuusi,yhdeksänkymmenenkuuden,yhdeksääkymmentäkuutta,yhdeksäänkymmeneenkuuteen
Kokonaisluvut,97,yhdeksänkymmentäseitsemän,yhdeksänkymmenenseitsemän,yhdeksääkymmentäseitsemää,yhdeksäänkymmeneenseitsemään
Kokonaisluvut,98,yhdeksänkymmentäkahdeksan,yhdeksänkymmenenkahdeksan,yhdeksääkymmentäkahdeksaa,yhdeksäänkymmeneenkahdeksaan
Kokonaisluvut,99,yhdeksänkymmentäyhdeksän,yhdeksänkymmenenyhdeksän,yhdeksääkymmentäyhdeksää,yhdeksäänkymmeneenyhdeksään
Kokonaisluvut,100,sata,sadan,sataa,sataan
Kokonaisluvut,200,kaksisataa,kahdensadan,kahtasataa,kahteensataan
Kokonaisluvut,300,kolmesataa,kolmensadan,kolmeasataa,kolmeensataan
Kokonaisluvut,400,neljäsataa,neljänsadan,neljääsataa,neljäänsataan
Kokonaisluvut,500,viisisataa,viidensadan,viittäsataa,viiteensataan
Kokonaisluvut,600,kuusisataa,kuudensadan,kuuttasataa,kuuteensataan
Kokonaisluvut,700,seitsemänsataa,seitsemänsadan,seitsemääsataa,seitsemäänsataan
Kokonaisluvut,800,kahdeksansataa,kahdeksansadan,kahdeksaasataa,kahdeksaansataan
Kokonaisluvut,900,yhdeksänsataa,yhdeksänsadan,yhdeksääsataa,yhdeksäänsataan
Kokonaisluvut,1000,tuhat,tuhannen,tuhatta,tuhanteen
Kokonaisluvut,10000,kymmenen tuhatta,kymmenen tuhannen, kymmeneen tuhanteen
Kokonaisluvut,100000,sata tuhatta,sadan tuhannen,sataan tuhanteen
Kokonaisluvut,1000000,miljoona,miljoonan,miljoonaan
Kokonaisluvut,1000000000,miljardi,miljardin,miljardiin
